trip_id,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_per_room_usd,duration_hours,price,is_weekend_checkin,season,hotel_brand,hotel_city,log_price
532941-698a9657afc54bfe9899124d281da13f,Hyatt - new york,8,1,2023-03-06 09:43:37.065,2023-03-14 11:00:00,212,193.27303750000002,1696,0,Spring,Hyatt,New York,7.436617265234227
521956-3f5c4243e6ef493cbd7a116263dbded8,Conrad  - charlotte,1,1,2023-01-17 16:10:51.690,2023-01-18 11:00:00,97,18.818975,97,0,Winter,Conrad ,Charlotte,4.584967478670572
620033-8462fa463ad1416f9d461ef25dc5443d,Accor - dallas,14,1,2024-03-22 12:36:23.040,2024-04-05 11:00:00,182,334.3936,2548,1,Spring,Accor,Dallas,7.8434564043761155
516269-4261337592f14d3dbe4af818324972bf,Accor - quebec,2,1,2023-05-01 23:10:33.870,2023-05-03 11:00:00,151,35.823925,302,0,Spring,Accor,Quebec,5.713732805509369
569572-58e7ec8d1ac3467e8995d0f821219ead,Shangri-La - louisville,2,1,2023-02-08 18:18:43.830,2023-02-10 11:00:00,154,40.687825000000004,308,0,Winter,Shangri-La,Louisville,5.733341276897746
559981-3fd703a6f75d4a298498bcf54a213e73,Rosewood - ottawa,2,1,2023-02-08 10:03:58.050,2023-02-10 11:00:00,90,48.933875,180,0,Winter,Rosewood,Ottawa,5.198497031265826
530371-310999f262d84e139acdc3ce16300499,Radisson  - tucson,4,2,2023-01-23 11:00:00.000,2023-01-27 11:00:00,198,96.0,1584,0,Winter,Radisson ,Tucson,7.368339686311381
540572-2c8aa1d49ce84b80b559c7d9a0b3744c,Hyatt - columbus,5,2,2023-03-15 11:00:00.000,2023-03-20 11:00:00,186,120.0,1860,0,Spring,Hyatt,Columbus,7.528869256642251
524572-a7801db1d7444d599b8c525c871c0089,Rosewood - los angeles,7,1,2023-01-20 11:00:00.000,2023-01-27 11:00:00,297,168.0,2079,1,Winter,Rosewood,Los Angeles,7.640123172695364
540666-7e2dbdb4bdf045299f3a154ad0e4e312,Crowne Plaza - new york,1,1,2023-04-04 14:11:22.965,2023-04-05 11:00:00,422,20.8102875,422,0,Spring,Crowne Plaza,New York,6.0473721790462776
566650-0b3813724eed4f649dcb91062192f0f0,Hilton - oklahoma city,1,1,2023-02-14 11:41:32.010,2023-02-15 11:00:00,129,23.307775000000003,129,0,Winter,Hilton,Oklahoma City,4.867534450455582
529362-5f76615d6e8f4458a4d7f4396664b25b,Banyan Tree  - philadelphia,2,1,2023-02-18 12:00:19.125,2023-02-20 11:00:00,149,46.9946875,298,1,Winter,Banyan Tree ,Philadelphia,5.700443573390686
526062-06393c397ab04b0293f5ee1206ef414b,Aman Resorts - chicago,8,2,2023-01-28 17:18:59.445,2023-02-05 11:00:00,212,185.6834875,3392,1,Winter,Aman Resorts,Chicago,8.129469764784231
503418-efcfc88341d74b4187268dd7c18aa9f9,Best Western - los angeles,4,1,2023-01-13 17:57:24.300,2023-01-17 11:00:00,180,89.04325,720,1,Winter,Best Western,Los Angeles,6.580639137284949
528122-e8d223794f87496f813eb959225566f6,Extended Stay  - baltimore,2,1,2023-06-27 16:41:51.630,2023-06-29 11:00:00,157,42.302324999999996,314,0,Summer,Extended Stay ,Baltimore,5.752572638825633
608629-5848be11a4ff445bb777d516e689aaed,Radisson  - indianapolis,3,1,2023-03-24 19:19:29.685,2023-03-27 11:00:00,97,63.675087500000004,291,1,Spring,Radisson ,Indianapolis,5.676753802268282
428858-82cf47fb1db94ec282e1eb714c97f72f,Four Seasons - san antonio,8,1,2023-05-04 11:00:00.000,2023-05-12 11:00:00,456,192.0,3648,0,Spring,Four Seasons,San Antonio,8.202208436436448
551890-a7768ea4a9e64803aa507c5c6354625b,Conrad  - chicago,4,1,2023-04-11 11:00:00.000,2023-04-15 11:00:00,260,96.0,1040,0,Spring,Conrad ,Chicago,6.947937068614969
542208-a10ed4525eed4f19b87a0619a24e4457,Conrad  - new york,9,1,2023-01-31 15:54:35.865,2023-02-09 11:00:00,113,211.0900375,1017,0,Winter,Conrad ,New York,6.925595197110468
630738-ed3e73bba8bd4baa87baa36938740a88,Wyndham - houston,3,1,2023-04-06 10:08:11.400,2023-04-09 11:00:00,110,72.86349999999999,330,0,Spring,Wyndham,Houston,5.802118375377063
548120-b4ca37705802480ba52f6f0deed5835d,Shangri-La - new york,1,1,2023-07-18 11:02:21.750,2023-07-19 11:00:00,264,23.960625,264,0,Summer,Shangri-La,New York,5.579729825986222
387282-4ff1f1e72ae84823bc55f784576c4a01,Four Seasons - columbus,4,3,2023-03-29 11:00:00.000,2023-04-02 11:00:00,330,96.0,3960,0,Spring,Four Seasons,Columbus,8.284251797621916
526431-897d57203ee04c879a338c9c9919a0f8,Marriott  - toronto,13,1,2023-04-08 11:00:00.000,2023-04-21 11:00:00,109,312.0,1417,1,Spring,Marriott ,Toronto,7.257002707092073
611839-84cb78999c2b43dba9c297c8bead78ea,Wyndham - winnipeg,4,1,2023-04-14 18:30:45.630,2023-04-18 11:00:00,123,88.487325,492,1,Spring,Wyndham,Winnipeg,6.20050917404269
650901-efb2dd9990d44264a3e2bf884c9e9649,Choice Hotels - oklahoma city,8,1,2023-07-05 18:00:38.520,2023-07-13 11:00:00,197,184.9893,1576,0,Summer,Choice Hotels,Oklahoma City,7.3632795869630385
524043-12c9cecfb5e540a2819fbf09ee54a38e,Radisson  - new york,12,1,2023-01-20 11:00:00.000,2023-02-01 11:00:00,95,288.0,1140,1,Winter,Radisson ,New York,7.039660349862076
523442-bf75aac3cc304774897b18392d1308c8,Hyatt - dallas,3,1,2023-07-26 11:42:40.005,2023-07-29 11:00:00,183,71.2888875,549,0,Summer,Hyatt,Dallas,6.309918278226516
513860-7fae180d84464880af69471717222d6c,Choice Hotels - toronto,7,1,2023-03-11 11:00:00.000,2023-03-18 11:00:00,247,168.0,1729,1,Spring,Choice Hotels,Toronto,7.455876687491824
511800-660521e1931048c592cd496e3b58bee1,InterContinental  - columbus,3,3,2023-02-27 13:13:03.765,2023-03-02 11:00:00,266,69.7822875,2394,0,Winter,InterContinental ,Columbus,7.781138509845015
520491-cdbf424c70be455fb092fc2a3ae8e43c,Crowne Plaza - new york,3,1,2023-07-15 11:00:00.000,2023-07-18 11:00:00,119,72.0,357,1,Summer,Crowne Plaza,New York,5.8805329864007
522062-748c29ff5af6431c914d0cd71b766baa,InterContinental  - san jose,2,1,2023-06-24 18:21:29.340,2023-06-26 11:00:00,78,40.64185,156,1,Summer,InterContinental ,San Jose,5.056245805348308
624762-710a04fcb319450a82b7a8cbd84f3b2d,Hyatt - louisville,4,2,2023-06-05 09:37:40.530,2023-06-09 11:00:00,287,97.372075,2296,0,Summer,Hyatt,Louisville,7.739359202689098
636251-7b1022c2a28a403294fb5254874ff1e2,Shangri-La - new york,5,2,2023-05-09 11:00:00.000,2023-05-14 11:00:00,189,120.0,1890,0,Spring,Shangri-La,New York,7.544861068658458
500828-591d84e75fed4da0ad346898e2ed47f0,Shangri-La - edmonton,3,1,2023-03-16 15:33:57.330,2023-03-19 11:00:00,171,67.434075,513,0,Spring,Shangri-La,Edmonton,6.2422232654551655
517968-0204c132fd174d49b787f1da963f9fe4,Shangri-La - hamilton,1,1,2023-01-14 09:42:33.345,2023-01-15 11:00:00,157,25.2907375,157,1,Winter,Shangri-La,Hamilton,5.062595033026967
550871-acd96748ac254c9da132ed6f6d1c6cc5,Hyatt - philadelphia,3,1,2023-06-29 11:59:12.345,2023-07-02 11:00:00,88,71.0132375,264,0,Summer,Hyatt,Philadelphia,5.579729825986222
542059-d63c4da6af4c4840943b4dfc402fda38,Wyndham - toronto,3,1,2023-02-09 12:22:16.950,2023-02-12 11:00:00,54,70.628625,162,0,Winter,Wyndham,Toronto,5.093750200806762
547453-e3952201927d435c993b05173bf817db,Hilton - edmonton,2,1,2023-02-04 16:00:51.390,2023-02-06 11:00:00,225,42.985724999999995,450,1,Winter,Hilton,Edmonton,6.111467339502679
536810-1ea070b11b464ad98afa8be8fac4c76b,Shangri-La - louisville,6,1,2023-03-16 10:02:27.105,2023-03-22 11:00:00,141,144.9591375,846,0,Spring,Shangri-La,Louisville,6.741700694652055
528164-2e51a5f5eb7b416eb6d674b38ce335a0,Extended Stay  - quebec,4,1,2023-05-08 14:18:11.205,2023-05-12 11:00:00,134,92.6968875,536,0,Spring,Extended Stay ,Quebec,6.285998094508865
704870-ec35648fdcfc40f48598dffad44fd071,Four Seasons - new york,3,1,2023-05-25 13:58:03.945,2023-05-28 11:00:00,297,69.0322375,891,0,Spring,Four Seasons,New York,6.79346613258001
516152-5f71c80f2ad246e584b99d6245914a81,Wyndham - los angeles,3,1,2023-03-25 13:23:15.630,2023-03-28 11:00:00,122,69.612325,366,1,Spring,Wyndham,Los Angeles,5.905361848054571
511772-cb9ec9696bff43d78f7a9e92be9b44f9,Extended Stay  - san francisco,6,1,2023-04-23 14:42:24.705,2023-04-29 11:00:00,67,140.2931375,402,1,Spring,Extended Stay ,San Francisco,5.998936561946683
527455-38e50a1dd50747cb941bd8491eb8c8fa,Conrad  - new york,7,1,2023-04-05 15:36:54.765,2023-04-12 11:00:00,83,163.3847875,581,0,Spring,Conrad ,New York,6.366470447731438
538188-df713534c7104ce7b9fcbb87de84f807,Four Seasons - ottawa,6,1,2023-05-01 11:00:00.000,2023-05-07 11:00:00,206,144.0,1236,0,Spring,Four Seasons,Ottawa,7.1204443723924875
403881-bad07f10667d4dbfa1b33f9e63890f11,Starwood  - montreal,2,2,2023-04-04 22:58:35.175,2023-04-06 11:00:00,155,36.0235625,620,0,Spring,Starwood ,Montreal,6.431331081933479
523228-3835fbf1b2d14613a6fceb67a9dba60e,Wyndham - calgary,6,1,2023-03-29 12:43:04.665,2023-04-04 11:00:00,128,142.2820375,768,0,Spring,Wyndham,Calgary,6.645090969505644
541240-8e516c5002ed420793271becfa87b9fe,Hyatt - dallas,4,1,2023-03-05 11:00:00.000,2023-03-09 11:00:00,131,96.0,524,1,Spring,Hyatt,Dallas,6.263398262591624
446933-dd50803d3a5e4c4eb6c203462da85576,Accor - los angeles,4,1,2023-02-28 13:23:25.530,2023-03-04 11:00:00,55,93.60957499999999,220,0,Winter,Accor,Los Angeles,5.3981627015177525
550754-025cc9691dda44bd98a96831ddc324fb,Marriott  - san antonio,5,1,2023-06-11 16:58:04.665,2023-06-16 11:00:00,299,114.0320375,1495,1,Summer,Marriott ,San Antonio,7.310550158534422
593386-01d1a346e36344319ab07d276b4e2cfc,Four Seasons - toronto,6,1,2023-02-23 13:25:09.480,2023-03-01 11:00:00,121,141.5807,726,0,Winter,Four Seasons,Toronto,6.588926477533519
546190-0b7387488dcc47a7ae97b6b28e8bfb84,Starwood  - toronto,2,1,2023-06-25 16:47:02.265,2023-06-27 11:00:00,50,42.2160375,100,1,Summer,Starwood ,Toronto,4.61512051684126
511778-baf75d16c8e7477282ac265d834682da,InterContinental  - tucson,3,1,2023-08-01 15:52:39.495,2023-08-04 11:00:00,208,67.12236250000001,624,0,Summer,InterContinental ,Tucson,6.437751649736401
517743-13ffedc02c5041a0bd60e1546c77b71c,Hilton - los angeles,3,1,2023-04-20 18:58:03.945,2023-04-23 11:00:00,81,64.0322375,243,0,Spring,Hilton,Los Angeles,5.497168225293202
520530-a6e1cb1dc1af4b78b36e522c0b1af6db,Starwood  - montreal,3,1,2023-06-30 13:59:51.540,2023-07-03 11:00:00,232,69.00234999999999,696,1,Summer,Starwood ,Montreal,6.546785410760524
676570-ed23a4a861404b84b240ca68b9da1cb3,Radisson  - tucson,1,1,2023-04-05 18:52:19.605,2023-04-06 11:00:00,193,16.1278875,193,0,Spring,Radisson ,Tucson,5.267858159063328
532381-411645efce4945d48b895c0565cd43de,Conrad  - portland,7,1,2023-06-02 11:00:00.000,2023-06-09 11:00:00,62,168.0,434,1,Summer,Conrad ,Portland,6.075346031088684
473343-bfe82596fa1b4e3288ce987c507e4d86,Best Western - houston,3,1,2023-02-09 15:20:52.125,2023-02-12 11:00:00,176,67.6521875,528,0,Winter,Best Western,Houston,6.270988431858299
563735-ee488ec662214a56882dd46b84d69b64,Wyndham - charlotte,4,1,2023-03-01 13:41:13.425,2023-03-05 11:00:00,391,93.3129375,1564,0,Spring,Wyndham,Charlotte,7.355641102974253
527987-de7cd9869f08412f91a438a47861de35,Conrad  - dallas,2,1,2023-01-21 11:20:09.195,2023-01-23 11:00:00,68,47.664112499999995,136,1,Winter,Conrad ,Dallas,4.919980925828125
515578-c56350b18fc44aa5b5ec67b689b1de97,Starwood  - milwaukee,3,1,2023-03-31 13:42:10.845,2023-04-03 11:00:00,108,69.2969875,324,1,Spring,Starwood ,Milwaukee,5.783825182329737
590558-7c7862caf95a4a449841981b68352dfc,Fairmont - montreal,4,1,2023-02-15 11:00:00.000,2023-02-19 11:00:00,143,96.0,572,0,Winter,Fairmont,Montreal,6.35088571671474
522265-bedfe9daed5b445f9cc459963c78fb9c,Starwood  - new york,2,1,2023-03-02 13:57:15.255,2023-03-04 11:00:00,109,45.0457625,218,0,Spring,Starwood ,New York,5.389071729816501
564258-c14f52b5ffc2420f86f4554bf50f93cd,Radisson  - houston,9,2,2023-07-11 11:42:07.245,2023-07-20 11:00:00,275,215.2979875,4950,0,Summer,Radisson ,Houston,8.507344855361422
553967-633f37f24bf74033a082f03b730faf55,Hyatt - philadelphia,5,1,2023-03-31 13:12:00.495,2023-04-05 11:00:00,124,117.7998625,620,1,Spring,Hyatt,Philadelphia,6.431331081933479
556067-3a0cfafc8b3749b0be19f15256fac56d,Hilton - austin,2,1,2023-07-09 13:45:04.095,2023-07-11 11:00:00,266,45.2488625,532,1,Summer,Hilton,Austin,6.278521424165844
553955-cf601b19c9694254887fe22a95254212,Accor - washington,3,1,2023-03-17 11:45:18.315,2023-03-20 11:00:00,127,71.2449125,381,1,Spring,Accor,Washington,5.945420608606575
527046-542ef99876144522a0980e087cfe0cd1,Hilton - winnipeg,6,1,2023-02-19 14:34:07.455,2023-02-25 11:00:00,300,140.4312625,1800,1,Winter,Hilton,Winnipeg,7.496097345175956
552535-e4d6879f8c1d4ce68e0c5ecbf47ec684,Extended Stay  - montreal,3,1,2023-03-04 17:39:37.575,2023-03-07 11:00:00,52,65.3395625,156,1,Spring,Extended Stay ,Montreal,5.056245805348308
441982-a849c4c3250d440a9cb1b4c2dfa16843,Shangri-La - philadelphia,4,1,2023-04-02 18:11:17.745,2023-04-06 11:00:00,532,88.8117375,2128,1,Spring,Shangri-La,Philadelphia,7.663407664893479
545404-40031f94507c4c4ca05824795b494d5a,Wyndham - toronto,2,1,2023-07-04 12:36:43.605,2023-07-06 11:00:00,201,46.3878875,402,0,Summer,Wyndham,Toronto,5.998936561946683
516456-2a5e97d1772641dda4fb5fe66eeaa74e,Best Western - new york,1,1,2023-06-20 17:12:04.095,2023-06-21 11:00:00,228,17.7988625,228,0,Summer,Best Western,New York,5.43372200355424
614549-851589df84914d7cbe63c5df5d8e0166,Banyan Tree  - los angeles,3,1,2023-04-08 11:00:00.000,2023-04-11 11:00:00,66,72.0,198,1,Spring,Banyan Tree ,Los Angeles,5.293304824724492
415581-22e643e5548a4e3bb113428066e9315a,Conrad  - san francisco,3,1,2023-07-24 14:11:22.965,2023-07-27 11:00:00,488,68.8102875,1464,0,Summer,Conrad ,San Francisco,7.289610521451167
533393-78d623c4c1f240c2b39cd3ae25f961c3,Conrad  - new york,4,1,2023-02-27 11:00:00.000,2023-03-03 11:00:00,156,96.0,624,0,Winter,Conrad ,New York,6.437751649736401
592158-b880536527d049a7bbfe8da5596d4243,Marriott  - portland,1,1,2023-02-20 13:40:12.810,2023-02-21 11:00:00,137,21.329775,137,0,Winter,Marriott ,Portland,4.927253685157205
589650-3d080d86cd9b46039aefb43b5a857ff3,Rosewood - washington,2,2,2023-02-21 11:00:00.000,2023-02-23 11:00:00,86,48.0,344,0,Winter,Rosewood,Washington,5.84354441703136
529801-20163a5321a741939ae1e8c679a57013,Crowne Plaza - montreal,2,1,2023-05-20 10:31:46.245,2023-05-22 11:00:00,464,48.470487500000004,928,1,Spring,Crowne Plaza,Montreal,6.834108738813838
560085-37e6d6a958af484990cc9816cde53afd,Wyndham - new york,5,1,2023-06-12 13:57:17.775,2023-06-17 11:00:00,180,117.0450625,900,0,Summer,Wyndham,New York,6.803505257608338
575433-1824a1b276404c409e64e8c15a268014,NH Hotel  - memphis,2,1,2023-03-29 16:14:58.650,2023-03-31 11:00:00,196,42.750375,392,0,Spring,NH Hotel ,Memphis,5.973809611869261
535155-b110abfe2ffa4fd3a6d7ef43084b4a56,Fairmont - seattle,0,1,2023-02-04 12:58:18.750,2023-02-04 11:00:00,144,-1.971875,0,1,Winter,Fairmont,Seattle,0.0
548228-925152fe74574e07839ee6fa64585e4a,Starwood  - fort worth,10,1,2023-03-24 11:00:00.000,2023-04-03 11:00:00,109,240.0,1090,1,Spring,Starwood ,Fort Worth,6.994849985833071
473467-59f744178c254b0c9496462d3d9addd3,Banyan Tree  - los angeles,3,1,2023-01-21 18:29:34.575,2023-01-24 11:00:00,359,64.5070625,1077,1,Winter,Banyan Tree ,Los Angeles,6.982862751468942
532387-b9a37dd0fa144be48d3ec338816a1ee9,Wyndham - philadelphia,2,1,2023-03-05 20:07:29.820,2023-03-07 11:00:00,284,38.875049999999995,568,1,Spring,Wyndham,Philadelphia,6.343880434126331
576373-43eae1eaeafd4c5d98d6ded5b4c6375b,Marriott  - louisville,6,2,2023-02-12 11:28:23.025,2023-02-18 11:00:00,61,143.5269375,732,1,Winter,Marriott ,Louisville,6.597145701886651
522233-f0458a2d1caf4e24b05f71fcde430c93,Hyatt - phoenix,6,1,2023-02-04 13:06:01.305,2023-02-10 11:00:00,139,141.8996375,834,1,Winter,Hyatt,Phoenix,6.727431724850855
651193-1b5fcff5184e448096911cfa52681753,Choice Hotels - el paso,4,1,2023-04-23 17:43:35.985,2023-04-27 11:00:00,142,89.27333750000001,568,1,Spring,Choice Hotels,El Paso,6.343880434126331
483982-6da00af3607a405489ea4fd5f59131e3,Hilton - toronto,6,1,2023-03-07 18:16:17.940,2023-03-13 11:00:00,69,136.72835,414,0,Spring,Hilton,Toronto,6.028278520230698
528612-c97f5e04b1b14cf6a319b8b2f7914da0,NH Hotel  - los angeles,1,1,2023-02-17 20:14:28.815,2023-02-18 11:00:00,102,14.7586625,102,1,Winter,NH Hotel ,Los Angeles,4.634728988229636
435231-203cc75819b846d59b96b38788174dd5,Marriott  - detroit,3,1,2023-07-18 16:24:16.785,2023-07-21 11:00:00,83,66.5953375,249,0,Summer,Marriott ,Detroit,5.521460917862246
606568-580f0939a6134d32b9bfddca2ccab1c3,Marriott  - houston,5,2,2023-03-18 11:00:00.000,2023-03-23 11:00:00,132,120.0,1320,1,Spring,Marriott ,Houston,7.186144304522325
527133-3a5fff725dcb4b36a133acfc12641024,Best Western - fresno,3,1,2023-05-15 12:04:27.075,2023-05-18 11:00:00,112,70.92581249999999,336,0,Spring,Best Western,Fresno,5.820082930352362
532519-1c43948e688b48839038384c11bceb05,Hilton - portland,2,1,2023-01-29 21:04:32.565,2023-01-31 11:00:00,284,37.9242875,568,1,Winter,Hilton,Portland,6.343880434126331
523756-d9e8dc48926f4456a95feefca8cc7598,Banyan Tree  - chicago,4,3,2023-01-19 10:53:14.415,2023-01-23 11:00:00,201,96.1126625,2412,0,Winter,Banyan Tree ,Chicago,7.7886260656250315
554609-d7cf668d24214791b7eef9ab0709779c,Banyan Tree  - calgary,3,1,2023-06-28 19:57:55.890,2023-07-01 11:00:00,419,63.03447499999999,1257,0,Summer,Banyan Tree ,Calgary,7.1372784372603855
525611-1a6d2d872f414ec49a25d35e30a63ac2,NH Hotel  - new york,2,1,2023-02-03 11:12:44.595,2023-02-05 11:00:00,228,47.7876125,456,1,Winter,NH Hotel ,New York,6.124683390894205
511800-37f3961ac7484a1ca83396ad95f88da3,Crowne Plaza - los angeles,4,2,2023-07-20 10:37:10.740,2023-07-24 11:00:00,390,96.38035,3120,0,Summer,Crowne Plaza,Los Angeles,8.045908742270779
563592-b16898ff1975481f92c7c3be3a985ce3,Shangri-La - dallas,5,1,2023-02-17 11:44:25.935,2023-02-22 11:00:00,66,119.2594625,330,1,Winter,Shangri-La,Dallas,5.802118375377063
488672-1ca23a393da6494fac2bf26eec7db829,InterContinental  - new york,3,1,2023-01-20 11:28:04.890,2023-01-23 11:00:00,212,71.531975,636,1,Winter,InterContinental ,New York,6.456769655572163
545247-742ac9d0f4ed4227b775949eb3a7e5f2,Hyatt - montreal,6,2,2023-06-30 11:00:00.000,2023-07-06 11:00:00,409,144.0,4908,1,Summer,Hyatt,Montreal,8.498825534058053
722828-a6181ec3712a473b8b017b5de89d6e14,Hilton - toronto,2,1,2023-04-20 13:31:19.470,2023-04-22 11:00:00,81,45.477925,162,0,Spring,Hilton,Toronto,5.093750200806762
536659-b51ae6c48e774a2780f8c0ccce46628d,Conrad  - milwaukee,2,3,2023-06-16 11:28:44.580,2023-06-18 11:00:00,78,47.520950000000006,468,1,Summer,Conrad ,Milwaukee,6.150602768446279
592132-83f1be4139444d3486bedd824ed5595b,Radisson  - los angeles,2,1,2023-04-20 17:30:09.945,2023-04-22 11:00:00,100,41.4972375,200,0,Spring,Radisson ,Los Angeles,5.303304908059076
567906-c807d89100634c1a930383577f41fd24,Accor - austin,4,1,2023-02-20 12:03:24.750,2023-02-24 11:00:00,100,94.943125,400,0,Winter,Accor,Austin,5.993961427306569
522364-356f939724094927b176f108208439a4,Four Seasons - los angeles,4,1,2023-01-31 15:14:58.650,2023-02-04 11:00:00,191,91.75037499999999,764,0,Winter,Four Seasons,Los Angeles,6.639875833826536
614632-92834185636b46928cf1fac56ccfa635,Hilton - philadelphia,7,1,2023-03-24 11:00:00.000,2023-03-31 11:00:00,111,168.0,777,1,Spring,Hilton,Philadelphia,6.656726524178391
646455-29da63b29d884cf8b16e14a398de0442,Rosewood - chicago,5,1,2023-06-06 10:50:53.610,2023-06-11 11:00:00,161,120.151775,805,0,Summer,Rosewood,Chicago,6.692083742506628
512103-b1d271af23074fa6b82ffc898133a35a,Crowne Plaza - dallas,2,1,2023-01-14 10:05:55.050,2023-01-16 11:00:00,105,48.901375,210,1,Winter,Crowne Plaza,Dallas,5.351858133476067
679066-9883a3d4c394408faa3ebed330c3fbc6,Choice Hotels - memphis,8,1,2023-04-20 09:33:29.610,2023-04-28 11:00:00,124,193.441775,992,0,Spring,Choice Hotels,Memphis,6.900730664045173
550985-442ea23bcca64c93b0fd3322b2f33b34,Hyatt - new york,2,1,2023-02-06 12:27:06.435,2023-02-08 11:00:00,141,46.5482125,282,0,Winter,Hyatt,New York,5.645446897643238
519285-b5b9f48ca84e4dbb9e55f0beb7975478,Fairmont - houston,4,1,2023-03-20 12:43:09.750,2023-03-24 11:00:00,121,94.280625,484,0,Spring,Fairmont,Houston,6.184148890937483
548568-cd5dd7f3d4404ed2a34631e8ade58bf5,Best Western - los angeles,1,1,2023-02-20 13:49:13.530,2023-02-21 11:00:00,353,21.179575,353,0,Winter,Best Western,Los Angeles,5.869296913133774
535099-30ed4edb20ee44c3ad4c683d002b8fdd,Fairmont - new york,1,1,2023-03-15 10:36:16.380,2023-03-16 11:00:00,209,24.39545,209,0,Spring,Fairmont,New York,5.3471075307174685
573493-6f5e0c5cd65e4e1d9dcbccb417a203a2,Best Western - milwaukee,2,1,2023-03-18 16:32:55.365,2023-03-20 11:00:00,57,42.4512875,114,1,Spring,Best Western,Milwaukee,4.74493212836325
564517-b0c81505fd464b8d87ca6c66c46921a2,Hilton - toronto,12,1,2023-04-07 19:28:52.185,2023-04-19 11:00:00,99,279.51883749999996,1188,1,Spring,Hilton,Toronto,7.080867896690782
588820-b73bbb6490bf41ba95b3ae2c0663c3d1,Hyatt - nashville,2,1,2023-05-22 11:28:58.710,2023-05-24 11:00:00,240,47.517025000000004,480,0,Spring,Hyatt,Nashville,6.175867270105761
531568-5500e8ee02684948bbbd196402c45c97,Aman Resorts - detroit,2,3,2023-04-05 12:21:18.945,2023-04-07 11:00:00,182,46.6447375,1092,0,Spring,Aman Resorts,Detroit,6.996681488176539
516744-92e91e26a4bd42e884b136fedd08fa8a,Rosewood - philadelphia,7,1,2023-07-03 11:00:00.000,2023-07-10 11:00:00,109,168.0,763,0,Summer,Rosewood,Philadelphia,6.638567789166521
584875-bebbf806b89540129a98baac727ae74f,Extended Stay  - philadelphia,5,1,2023-03-22 19:22:04.890,2023-03-27 11:00:00,592,111.631975,2960,0,Spring,Extended Stay ,Philadelphia,7.993282328101591
614549-60155f6470b44b8583f3189c196cd652,Marriott  - new york,2,2,2023-07-26 20:49:39.900,2023-07-28 11:00:00,67,38.17225,268,0,Summer,Marriott ,New York,5.594711379601839
541040-19beb1978a85469d817abd9ec799ca41,Fairmont - new york,3,1,2023-02-03 13:58:03.945,2023-02-06 11:00:00,253,69.0322375,759,1,Winter,Fairmont,New York,6.633318433280377
